alert_id,account_id,rule_id,rule_name,typology,score,detected_at,window_start,window_end,evidence
ALR-6D8GDEG,ACC-29GD8AF,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-01 11:10:00,2026-08-29 14:33:00,"{""month"": ""2026-08"", ""month_flow_amount"": 126528.28, ""avg_monthly_txn_amount"": 36563.15, ""multiple"": 3.5}"
ALR-FRNBKKP,ACC-29GD8AF,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-11 11:15:00,2026-08-11 18:20:00,"{""chain"": [""ACC-29GD8AF"", ""ACC-DPFF5E8"", ""ACC-XSK28T7""], ""first_hop_txn"": ""TXN-GFUZT5A"", ""second_hop_txn"": ""TXN-NAAMLC5""}"
ALR-Q3ZD4DZ,ACC-B5UL5NW,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-03 06:40:00,2026-08-03 12:40:00,"{""transaction_id"": ""TXN-Q56GF24"", ""outgoing_amount_ratio"": 0.8, ""incoming_sum_6h"": 140000.0, ""minutes_after_inbound"": 205}"
ALR-JLJL44H,ACC-B5UL5NW,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-03 06:40:00,2026-08-03 12:40:00,"{""transaction_id"": ""TXN-Q56GF24"", ""outgoing_incoming_ratio"": 0.8, ""incoming_sum_6h"": 140000.0}"
ALR-WT0LNFJ,ACC-B5UL5NW,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-02 09:47:00,2026-08-23 21:21:00,"{""month"": ""2026-08"", ""month_flow_amount"": 293578.92, ""avg_monthly_txn_amount"": 64275.48, ""multiple"": 4.6}"
ALR-LSSHQ8L,ACC-BRCL472,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-03 09:45:00,2026-08-03 15:45:00,"{""transaction_id"": ""TXN-RO4LN6S"", ""outgoing_amount_ratio"": 0.84, ""incoming_sum_6h"": 116000.0, ""minutes_after_inbound"": 115}"
ALR-NDS3WE2,ACC-BRCL472,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-03 09:45:00,2026-08-03 15:45:00,"{""transaction_id"": ""TXN-RO4LN6S"", ""outgoing_incoming_ratio"": 0.84, ""incoming_sum_6h"": 116000.0}"
ALR-O9F741B,ACC-BRCL472,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-07-03 11:27:00,2026-08-26 19:38:00,"{""month"": ""2026-08"", ""month_flow_amount"": 247990.3, ""avg_monthly_txn_amount"": 47204.05, ""multiple"": 5.3}"
ALR-98OKXSV,ACC-DPFF5E8,SMF-001,multiple_inbound_counterparties,smurfing,15,2026-09-04 22:13:48,2026-08-11 10:05:00,2026-08-11 14:20:00,"{""unique_inbound_senders"": 3, ""senders"": [""ACC-29GD8AF"", ""ACC-D6FLEEP"", ""ACC-E6PR5N8""], ""window_hours"": 4.2}"
ALR-CN2XTJT,ACC-DPFF5E8,SMF-002,fragmented_inbound_transactions,smurfing,15,2026-09-04 22:13:48,2026-08-11 10:05:00,2026-08-11 14:20:00,"{""inbound_count"": 5, ""aggregate_amount"": 243000.0, ""account_baseline"": 43316.03, ""amount_cv"": 0.06}"
ALR-3UXWH42,ACC-DPFF5E8,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-11 12:20:00,2026-08-11 18:20:00,"{""transaction_id"": ""TXN-NAAMLC5"", ""outgoing_amount_ratio"": 1.45, ""incoming_sum_6h"": 142000.0, ""minutes_after_inbound"": 240}"
ALR-WGCP7PT,ACC-DPFF5E8,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-11 12:20:00,2026-08-11 18:20:00,"{""transaction_id"": ""TXN-NAAMLC5"", ""outgoing_incoming_ratio"": 1.45, ""incoming_sum_6h"": 142000.0}"
ALR-CK7UOS7,ACC-DPFF5E8,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-02 11:34:00,2026-08-23 10:59:00,"{""month"": ""2026-08"", ""month_flow_amount"": 506380.59, ""avg_monthly_txn_amount"": 43316.03, ""multiple"": 11.7}"
ALR-IQV8Q01,ACC-DPFF5E8,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-11 18:20:00,2026-08-11 20:10:00,"{""chain"": [""ACC-DPFF5E8"", ""ACC-XSK28T7"", ""ACC-2919AHE""], ""first_hop_txn"": ""TXN-NAAMLC5"", ""second_hop_txn"": ""TXN-96A8UZA""}"
ALR-P7HAF2Y,ACC-DPFF5E8,RSMF-004,downstream_pass_through,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-11 18:20:00,2026-08-11 20:10:00,"{""recipient"": ""ACC-XSK28T7"", ""received_amount"": 206000.0, ""onward_txn"": ""TXN-96A8UZA"", ""onward_within_minutes"": 110}"
ALR-J06SZXS,ACC-DPFF5E8,RSMF-007,downstream_fund_retention_anomaly,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-11 18:20:00,2026-08-11 20:10:00,"{""recipient"": ""ACC-XSK28T7"", ""received_amount"": 206000.0, ""onward_amount"": 185000.0, ""onward_ratio"": 0.9}"
ALR-DYNKQ81,ACC-DPFF5E8,RSMF-006,multi_hop_distribution_network,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-11 18:20:00,2026-08-11 20:10:00,"{""chain"": [""ACC-DPFF5E8"", ""ACC-XSK28T7"", ""ACC-2919AHE""], ""depth"": 2}"
ALR-7IID98N,ACC-DPFF5E8,RSMF-005,transaction_profile_deviation,reverse_smurfing,15,2026-09-04 22:13:48,2026-04-02 11:34:00,2026-08-23 10:59:00,"{""month"": ""2026-08"", ""month_outbound_amount"": 246467.77, ""avg_monthly_txn_amount"": 43316.03, ""multiple"": 5.7}"
ALR-IARIF2V,ACC-DW6ET32,SMF-004,multiple_outbound_counterparties,smurfing,10,2026-09-04 22:13:48,2026-08-15 12:00:00,2026-08-15 18:30:00,"{""unique_outbound_receivers"": 2, ""receivers"": [""ACC-1ZF88JR"", ""ACC-9F5G3UK""]}"
ALR-DAEPJPD,ACC-DW6ET32,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-01 10:16:00,2026-08-28 09:48:00,"{""month"": ""2026-05"", ""month_flow_amount"": 1413861.86, ""avg_monthly_txn_amount"": 453368.68, ""multiple"": 3.1}"
ALR-6MJXCQ3,ACC-DW6ET32,RSMF-001,multiple_outbound_counterparties,reverse_smurfing,20,2026-09-04 22:13:48,2026-08-15 12:00:00,2026-08-16 11:15:00,"{""unique_outbound_receivers"": 3, ""receivers"": [""ACC-1ZF88JR"", ""ACC-3B2A3CW"", ""ACC-9F5G3UK""]}"
ALR-6OVWMT6,ACC-DW6ET32,RSMF-002,outbound_amount_fragmentation,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-15 12:00:00,2026-08-16 11:15:00,"{""outbound_count"": 3, ""amount_cv"": 0.42, ""amounts"": [30000.0, 55000.0, 20000.0]}"
ALR-NFL8ZY2,ACC-H3FNBDV,SMF-001,multiple_inbound_counterparties,smurfing,15,2026-09-04 22:13:48,2026-08-18 10:30:00,2026-08-18 15:40:00,"{""unique_inbound_senders"": 3, ""senders"": [""ACC-4OGW9XH"", ""ACC-6OC7T3B"", ""ACC-O0V3Z0G""], ""window_hours"": 5.2}"
ALR-MK90F25,ACC-H3FNBDV,SMF-002,fragmented_inbound_transactions,smurfing,15,2026-09-04 22:13:48,2026-08-18 10:30:00,2026-08-18 15:40:00,"{""inbound_count"": 3, ""aggregate_amount"": 127000.0, ""account_baseline"": 69371.33, ""amount_cv"": 0.05}"
ALR-POTQFUB,ACC-H3FNBDV,SMF-003,rapid_onward_transfer,smurfing,20,2026-09-04 22:13:48,2026-08-18 13:10:00,2026-08-18 19:10:00,"{""transaction_id"": ""TXN-QEW3NPT"", ""outgoing_amount_ratio"": 1.79, ""incoming_sum_6h"": 42000.0, ""minutes_after_inbound"": 210}"
ALR-A5AGNYG,ACC-H3FNBDV,SMF-007,fund_retention_anomaly,smurfing,20,2026-09-04 22:13:48,2026-08-18 13:10:00,2026-08-18 19:10:00,"{""transaction_id"": ""TXN-QEW3NPT"", ""outgoing_incoming_ratio"": 1.79, ""incoming_sum_6h"": 42000.0}"
ALR-H4QK6AG,ACC-H3FNBDV,SMF-004,multiple_outbound_counterparties,smurfing,10,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-18 19:10:00,"{""unique_outbound_receivers"": 2, ""receivers"": [""ACC-DJKDFR2"", ""ACC-EZC1B3E""]}"
ALR-M6ESPZK,ACC-H3FNBDV,SMF-005,transaction_profile_deviation,smurfing,15,2026-09-04 22:13:48,2026-04-02 11:00:00,2026-08-28 10:37:00,"{""month"": ""2026-08"", ""month_flow_amount"": 367185.07, ""avg_monthly_txn_amount"": 69371.33, ""multiple"": 5.3}"
ALR-XV26HAU,ACC-H3FNBDV,SMF-006,multi_hop_fund_flow,smurfing,15,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-21 11:23:00,"{""chain"": [""ACC-H3FNBDV"", ""ACC-DJKDFR2"", ""ACC-E3YVZMZ""], ""first_hop_txn"": ""TXN-O7MTV1A"", ""second_hop_txn"": ""TXN-P2C5CQP""}"
ALR-TKT1G49,ACC-H3FNBDV,SMF-008,new_beneficiary_after_inbound,smurfing,10,2026-09-04 22:13:48,2026-08-18 12:45:00,2026-08-18 18:30:00,"{""transaction_id"": ""TXN-O7MTV1A"", ""beneficiary_id"": ""BEN-CH0RRX"", ""minutes_after_inbound"": 170}"
ALR-ZOYG6GL,ACC-H3FNBDV,RSMF-006,multi_hop_distribution_network,reverse_smurfing,15,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-21 11:23:00,"{""chain"": [""ACC-H3FNBDV"", ""ACC-DJKDFR2"", ""ACC-E3YVZMZ""], ""depth"": 2}"
ALR-VQY27SQ,ACC-H3FNBDV,RSMF-005,transaction_profile_deviation,reverse_smurfing,15,2026-09-04 22:13:48,2026-04-02 11:00:00,2026-08-28 10:37:00,"{""month"": ""2026-08"", ""month_outbound_amount"": 220447.78, ""avg_monthly_txn_amount"": 69371.33, ""multiple"": 3.2}"
ALR-KRQU4R6,ACC-H3FNBDV,AS-002,new_device,account_swap,15,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-18 18:30:00,"{""transaction_id"": ""TXN-O7MTV1A"", ""device_id"": ""DEV-Z0P77U"", ""trusted"": false}"
ALR-V4Z54I8,ACC-H3FNBDV,AS-003,device_fingerprint_change,account_swap,15,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-18 18:30:00,"{""transaction_id"": ""TXN-O7MTV1A"", ""device_id"": ""DEV-Z0P77U"", ""previous_device_id"": ""DEV-TUNP5W""}"
ALR-CTB88BF,ACC-H3FNBDV,AS-001,sim_change,account_swap,25,2026-09-04 22:13:48,2026-08-18 00:00:00,2026-08-18 21:23:00,"{""device_id"": ""DEV-Z0P77U"", ""sim_change_date"": ""2026-08-18"", ""transactions_within_24h"": 4}"
ALR-525HEO6,ACC-H3FNBDV,AS-007,new_beneficiary,account_swap,10,2026-09-04 22:13:48,2026-08-18 18:30:00,2026-08-18 18:30:00,"{""transaction_id"": ""TXN-O7MTV1A"", ""beneficiary_id"": ""BEN-CH0RRX"", ""amount"": 85000.0}"
ALR-574ZSKZ,ACC-H3FNBDV,AS-009,compound_account_takeover_signal,account_swap,20,2026-09-04 22:13:48,2026-04-02 11:00:00,2026-08-28 10:37:00,"{""security_signals"": [""AS-001"", ""AS-002"", ""AS-003""], ""transaction_signals"": [""AS-007""]}"
ALR-Y87WNZM,ACC-HGP8IY3,AS-002,new_device,account_swap,15,2026-09-04 22:13:48,2026-08-24 11:20:00,2026-08-24 11:20:00,"{""transaction_id"": ""TXN-25XAP3P"", ""device_id"": ""DEV-ARUOB8"", ""trusted"": false}"
ALR-GRXUHFP,ACC-HGP8IY3,AS-003,device_fingerprint_change,account_swap,15,2026-09-04 22:13:48,2026-08-24 11:20:00,2026-08-24 11:20:00,"{""transaction_id"": ""TXN-25XAP3P"", ""device_id"": ""DEV-ARUOB8"", ""previous_device_id"": ""DEV-C6IGIR""}"
ALR-7T5LQ3J,ACC-HGP8IY3,AS-001,sim_change,account_swap,25,2026-09-04 22:13:48,2026-08-24 00:00:00,2026-08-24 11:20:00,"{""device_id"": ""DEV-ARUOB8"", ""sim_change_date"": ""2026-08-24"", ""transactions_within_24h"": 1}"
ALR-P42658I,ACC-HGP8IY3,AS-005,vpn_or_proxy_signal,account_swap,10,2026-09-04 22:13:48,2026-05-24 15:09:00,2026-05-24 15:09:00,"{""geo_event_id"": ""GEO-TZHH42"", ""city"": ""Nagpur""}"
ALR-AKYJAH2,ACC-HGP8IY3,AS-007,new_beneficiary,account_swap,10,2026-09-04 22:13:48,2026-08-24 11:20:00,2026-08-24 11:20:00,"{""transaction_id"": ""TXN-25XAP3P"", ""beneficiary_id"": ""BEN-HDWTL3"", ""amount"": 210000.0}"
