transaction_id,sender_account_id,receiver_account_id,timestamp,amount,currency,transaction_type,channel,beneficiary_id,device_id,geo_event_id,is_international,balance_after,transaction_status,payment_reference
TXN-TH6JTWU,ACC-4OGW9XH,EXT-3JQIP98,2026-04-01 08:09:00,1183.22,INR,UPI_MERCHANT,UPI,BEN-LEDN44,DEV-H409KU,GEO-8IMVB1,FALSE,289226.65,SUCCESS,UPI/941755373
TXN-540J7CC,ACC-9XM091Z,ACC-9XM091Z,2026-04-01 08:12:00,5000.00,INR,ATM_WITHDRAWAL,ATM,,,GEO-WV4N7C,FALSE,285760.42,SUCCESS,ATM-CASH549038
TXN-JRGXB3J,ACC-70X3FG6,EXT-3PTD2FZ,2026-04-01 08:13:00,737.24,INR,UPI_MERCHANT,UPI,,DEV-VB1TCA,GEO-J09KQZ,FALSE,215511.48,SUCCESS,UPI/567235592
TXN-O8K1K8I,ACC-70SBOVV,EXT-J129EFL,2026-04-01 08:15:00,2516.96,INR,UPI_MERCHANT,UPI,,DEV-BJYV1S,,FALSE,,FAILED,UPI/642448526
TXN-KJO6AA6,ACC-OK8NHVI,EXT-0D224T9,2026-04-01 08:38:00,1673.03,INR,UPI_MERCHANT,UPI,,DEV-ATYR8W,GEO-5PZUGG,FALSE,79119.78,SUCCESS,UPI/115478807
TXN-EK93VDL,ACC-VGKP7L9,EXT-X1DE27Z,2026-04-01 08:49:00,1975.15,INR,UPI_MERCHANT,UPI,,DEV-54MEQC,GEO-7WCQLL,FALSE,214844.49,SUCCESS,UPI/484022710
TXN-LHL34XJ,ACC-SF4HTZ4,ACC-SF4HTZ4,2026-04-01 08:52:00,10000.00,INR,ATM_WITHDRAWAL,ATM,,,GEO-STQRD1,FALSE,314880.60,SUCCESS,ATM-CASH515073
TXN-9MPKSM3,ACC-0IQSVUH,EXT-1I8A7OH,2026-04-01 08:53:00,1785.68,INR,UPI_MERCHANT,UPI,,DEV-FC5EUC,GEO-O31ZU2,FALSE,166108.26,SUCCESS,UPI/850194278
TXN-4R30EN2,ACC-QG18BAZ,EXT-RIK3YL2,2026-04-01 08:55:00,1367.34,INR,UPI_MERCHANT,UPI,,DEV-8KA71L,,FALSE,339702.36,SUCCESS,UPI/945060150
TXN-PJX3HSR,ACC-1ZF88JR,EXT-VW1L3EF,2026-04-01 08:59:00,1698.49,INR,UPI_MERCHANT,UPI,,DEV-TUCOJ6,GEO-FOYN9U,FALSE,466355.26,SUCCESS,UPI/558741942
