case_id,account_id,created_at,primary_trigger,alert_ids,evidence_signals,typologies,status,bundle_reason
CASE-1YXQ2BP,ACC-29GD8AF,2026-09-03 23:10:58,smurfing,"ALR-6D8GDEG,ALR-FRNBKKP","SMF-005,SMF-006",smurfing,SAR_READY,bundled 2 smurfing alerts on one account; total_score=30
CASE-ZE9V64Z,ACC-B5UL5NW,2026-09-03 23:10:58,smurfing,"ALR-Q3ZD4DZ,ALR-JLJL44H,ALR-WT0LNFJ","SMF-003,SMF-007,SMF-005",smurfing,JUNIOR,bundled 3 smurfing alerts on one account; total_score=55
CASE-GWQH8RK,ACC-BRCL472,2026-09-03 23:10:58,smurfing,"ALR-LSSHQ8L,ALR-NDS3WE2,ALR-O9F741B","SMF-003,SMF-007,SMF-005",smurfing,JUNIOR,bundled 3 smurfing alerts on one account; total_score=55
CASE-VLO7LVL,ACC-DPFF5E8,2026-09-03 23:10:58,smurfing,"ALR-98OKXSV,ALR-CN2XTJT,ALR-3UXWH42,ALR-WGCP7PT,ALR-CK7UOS7,ALR-IQV8Q01,ALR-P7HAF2Y,ALR-J06SZXS,ALR-DYNKQ81,ALR-7IID98N","SMF-001,SMF-002,SMF-003,SMF-007,SMF-005,SMF-006,RSMF-004,RSMF-007,RSMF-006,RSMF-005","reverse_smurfing,smurfing",JUNIOR,"bundled 10 alerts (reverse_smurfing:70, smurfing:100); primary by score; total_score=170"
CASE-53VIYPE,ACC-DW6ET32,2026-09-03 23:10:58,reverse_smurfing,"ALR-IARIF2V,ALR-DAEPJPD,ALR-6MJXCQ3,ALR-6OVWMT6","SMF-004,SMF-005,RSMF-001,RSMF-002","reverse_smurfing,smurfing",JUNIOR,"bundled 4 alerts (reverse_smurfing:35, smurfing:25); primary by score; total_score=60"
CASE-KPIWTES,ACC-H3FNBDV,2026-09-03 23:10:58,smurfing,"ALR-NFL8ZY2,ALR-MK90F25,ALR-POTQFUB,ALR-A5AGNYG,ALR-H4QK6AG,ALR-M6ESPZK,ALR-XV26HAU,ALR-TKT1G49,ALR-ZOYG6GL,ALR-VQY27SQ,ALR-KRQU4R6,ALR-V4Z54I8,ALR-CTB88BF,ALR-525HEO6,ALR-574ZSKZ","SMF-001,SMF-002,SMF-003,SMF-007,SMF-004,SMF-005,SMF-006,SMF-008,RSMF-006,RSMF-005,AS-002,AS-003,AS-001,AS-007,AS-009","account_swap,reverse_smurfing,smurfing",JUNIOR,"bundled 15 alerts (account_swap:85, reverse_smurfing:30, smurfing:120); primary by score; total_score=235"
CASE-AJZI3TI,ACC-HGP8IY3,2026-09-03 23:10:58,account_swap,"ALR-Y87WNZM,ALR-GRXUHFP,ALR-7T5LQ3J,ALR-P42658I,ALR-AKYJAH2,ALR-KI5PGL7,ALR-4BXF01G","AS-002,AS-003,AS-001,AS-005,AS-007,AS-008,AS-009",account_swap,JUNIOR,bundled 7 account_swap alerts on one account; total_score=110
CASE-YE26AQS,ACC-HMUH8LM,2026-09-03 23:10:58,smurfing,"ALR-Y37BEAC,ALR-VLZ8QP9","SMF-005,SMF-006",smurfing,JUNIOR,bundled 2 smurfing alerts on one account; total_score=30
CASE-UKA0DWV,ACC-KGYC4OM,2026-09-03 23:10:58,smurfing,"ALR-7EAR146,ALR-519ARIS,ALR-9DOWCR1,ALR-8SXLYKB,ALR-ZG7PPON,ALR-O818884,ALR-UC29EDG","SMF-001,SMF-002,SMF-003,SMF-007,SMF-005,SMF-006,SMF-008",smurfing,JUNIOR,bundled 7 smurfing alerts on one account; total_score=110
CASE-HLYBMZ4,ACC-P39JYM6,2026-09-03 23:10:58,reverse_smurfing,"ALR-JMHEZG8,ALR-HK3FVBO,ALR-2H186GQ,ALR-4W1ETMY,ALR-EVSD9MZ,ALR-Z760CPC,ALR-FY186WS,ALR-VB5FJTN","SMF-004,SMF-005,SMF-006,RSMF-001,RSMF-002,RSMF-003,RSMF-006,RSMF-005","reverse_smurfing,smurfing",JUNIOR,"bundled 8 alerts (reverse_smurfing:80, smurfing:40); primary by score; total_score=120"
