device_id,account_id,device_type,os,device_fingerprint,first_seen_date,last_seen_date,is_trusted_device,sim_change_detected,jailbroken_rooted,device_status,previous_device_id,evidence_status
DEV-WIQI2A,ACC-0H8WN2T,MOBILE,Android 14,fp-34fe07290990,2025-02-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-MFB2J6,ACC-0H8WN2T,TABLET,iPadOS 17,fp-f5bd2cb91874,2025-11-21,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-FC5EUC,ACC-0IQSVUH,MOBILE,iOS 17,fp-d4aa8d4e8d70,2024-04-09,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-8RL3XY,ACC-0U2BL3M,MOBILE,Android 12,fp-162d1b68c2e2,2022-01-31,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-5FHX3U,ACC-12310X5,MOBILE,Android 12,fp-6fd2fb77b1f5,2022-02-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-A7L212,ACC-12310X5,WEB,Windows 11 / Chrome,fp-759563b1041d,2025-12-05,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-IP9SOW,ACC-1FSOC4W,MOBILE,Android 12,fp-7b3e3b32e358,2021-04-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-DGVJ3P,ACC-1I3LDQY,WEB,Windows 11 / Chrome,fp-3e55c928fad0,2026-02-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-W4O40I,ACC-1I3LDQY,MOBILE,iOS 17,fp-5cc44b8417d7,2026-07-10,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-GBSH68,ACC-1KDGW4L,MOBILE,Android 12,fp-d6da4bba03ec,2023-06-01,2025-08-29,FALSE,TRUE,FALSE,RETIRED,,UNKNOWN
DEV-3Q06YM,ACC-1KDGW4L,MOBILE,iOS 16,fp-b8fe01a07973,2023-06-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-BXD7YM,ACC-1KDGW4L,MOBILE,iOS 17,fp-9df523f31fba,2025-08-29,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-GBSH68,AVAILABLE
DEV-Z0XD7I,ACC-1RZBK6K,MOBILE,Android 12,fp-a1be8b75b90b,2022-04-11,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-LZIQB1,ACC-1SGFGFB,MOBILE,Android 13,fp-c5597251ac42,2021-06-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-4PZZ9Q,ACC-1YBPERH,MOBILE,iOS 16,fp-5af32bb879ea,2024-06-25,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-TUCOJ6,ACC-1ZF88JR,MOBILE,iOS 16,fp-1b16b5c68dc2,2025-05-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H0GXBG,ACC-21YEFI7,MOBILE,Android 12,fp-4e4c81d58d0e,2022-11-29,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H4CWQ4,ACC-21YEFI7,WEB,macOS / Safari,fp-c8d95dc72e0c,2025-11-04,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-S9SSVO,ACC-22N64KF,MOBILE,Android 12,fp-2303cbb699ac,2025-07-17,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-QK1KAE,ACC-2919AHE,MOBILE,Android 12,fp-f34249267dce,2026-08-01,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H2VH68,ACC-29GD8AF,MOBILE,iOS 16,fp-3f82b2b5c680,2025-07-15,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H1ZUV5,ACC-2DUG8RM,MOBILE,iOS 16,fp-b92e7772b2dd,2025-05-30,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-K7ZUYL,ACC-2DUG8RM,TABLET,Android 14 (Tablet),fp-0d05c946c3db,2025-09-01,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-1YAR2G,ACC-2KLTALC,TABLET,iPadOS 17,fp-5095239dc796,2025-08-01,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-YD1SSZ,ACC-2KLTALC,MOBILE,Android 12,fp-445d010cd07e,2025-10-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-6HE5KJ,ACC-2N82WZM,MOBILE,iOS 17,fp-619aab1ba56a,2020-06-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-3S8CLM,ACC-2O8PT4M,MOBILE,Android 12,fp-7d098f0e0dd1,2025-04-20,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-ILYF6D,ACC-2TFKG9L,MOBILE,Android 14,fp-eb8df02811f1,2022-11-23,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-HRT4YI,ACC-2TFKG9L,WEB,Windows 11 / Chrome,fp-31f7bb8cbbf6,2026-03-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-Y2T3KX,ACC-2WFUDM7,MOBILE,Android 12,fp-fb30463df84c,2023-12-20,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-YLQM9R,ACC-2WT1Q3T,MOBILE,Android 13,fp-4fe2be7da0e1,2025-10-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-QN85IB,AVAILABLE
DEV-QN85IB,ACC-2WT1Q3T,MOBILE,iOS 16,fp-ae6399883c8a,2026-02-12,2025-10-26,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-GAVN5Y,ACC-2WT1Q3T,MOBILE,Android 12,fp-65e5f9c55cfa,2026-02-19,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-MJSPI9,ACC-2WT59GL,MOBILE,Android 14,fp-a2ff5803a01f,2025-10-14,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-9714WE,ACC-2Z1UBYH,MOBILE,Android 13,fp-90290fcb4f67,2025-03-06,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-MPC18N,ACC-366FZX6,MOBILE,Android 12,fp-89f33eb168a1,2024-06-25,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-7OTF9D,ACC-3A1DU10,MOBILE,iOS 17,fp-39217c69048b,2025-08-20,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-59LMAB,ACC-3A1DU10,TABLET,Android 14 (Tablet),fp-d5e5c182c8d6,2025-09-16,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-QF643J,ACC-3A1MITK,MOBILE,iOS 17,fp-10e984f2dd18,2025-03-29,2025-11-17,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-E1E6RD,ACC-3A1MITK,MOBILE,Android 14,fp-33bbb5beba3c,2025-04-01,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-CV8P45,ACC-3A1MITK,MOBILE,iOS 17,fp-c4344c3d3e7e,2025-11-17,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-QF643J,AVAILABLE
DEV-OIFX2I,ACC-3AEYV7C,MOBILE,iOS 16,fp-6334f95d416a,2025-07-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-IL12BG,ACC-3B2A3CW,MOBILE,Android 12,fp-ef642d0a088e,2024-02-13,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-FGJ4MC,ACC-3B2A3CW,TABLET,Android 14 (Tablet),fp-1059983d363f,2025-09-24,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-U3H93V,ACC-3CP78ZC,MOBILE,iOS 16,fp-36764e4ade56,2020-12-26,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-I5T6AG,ACC-3DFDRGV,MOBILE,Android 14,fp-4e1eaecdcaf8,2020-05-18,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-C9KPSD,ACC-3HQ57UY,MOBILE,iOS 17,fp-077d37cfaece,2022-08-09,2025-10-02,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-A6F0UR,ACC-3HQ57UY,MOBILE,Android 12,fp-bbca8163db60,2022-08-16,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-P1XR14,ACC-3HQ57UY,MOBILE,Android 13,fp-5276058666a7,2025-10-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-C9KPSD,AVAILABLE
DEV-DR0PGJ,ACC-3HQ57UY,WEB,Windows 11 / Chrome,fp-e9a4e2f2429a,2026-03-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-T0LGO2,ACC-3JPJT10,MOBILE,iOS 17,fp-c4e85045cd5c,2023-06-29,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-U0ZDP3,ACC-3RAVC2U,MOBILE,Android 12,fp-f36aebd15d5b,2023-10-31,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-9G4WB7,ACC-43VVT0V,MOBILE,Android 14,fp-6233baecff6f,2020-12-07,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-T3H5IG,ACC-44CI4J3,MOBILE,Android 13,fp-b5ca6ece0440,2025-12-13,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-U1B4TU,ACC-4CSKJ3F,MOBILE,Android 12,fp-ee3543f271bb,2022-04-25,2025-08-30,FALSE,TRUE,FALSE,RETIRED,,AVAILABLE
DEV-8YC2G1,ACC-4CSKJ3F,MOBILE,iOS 17,fp-0bd65389d6f3,2022-04-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-6XUMDQ,ACC-4CSKJ3F,MOBILE,Android 12,fp-6cda1079d423,2025-08-30,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,DEV-U1B4TU,AVAILABLE
DEV-X0YV1W,ACC-4EVB2Y6,MOBILE,iOS 16,fp-028788201275,2023-06-04,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-PV9L9V,ACC-4IKMOC0,MOBILE,Android 13,fp-41f893bc1929,2020-08-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-4GSCWA,ACC-4JNUCYD,MOBILE,iOS 16,fp-7d0ecd28f8e6,2024-03-02,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-QK9VJB,ACC-4L5GTCY,MOBILE,iOS 17,fp-be922c12cfb4,2026-01-05,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-OMB2GT,ACC-4NOUWR6,MOBILE,Android 12,fp-2d1781e64b84,2020-03-27,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-H409KU,ACC-4OGW9XH,MOBILE,Android 13,fp-a4019d0b8d0b,2025-09-15,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-C9ZYH8,ACC-4SBKXCS,MOBILE,iOS 16,fp-0b38d2dc98ca,2019-08-03,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-8E67F5,ACC-4Z56RJ3,MOBILE,Android 14,fp-f15b6fc60926,2025-05-24,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
DEV-60LVFX,ACC-4ZXTX1L,TABLET,iPadOS 17,fp-60b7b55f18b2,2025-12-23,2026-08-29,TRUE,FALSE,FALSE,ACTIVE,,AVAILABLE
