geo_event_id,account_id,timestamp,ip_address,city,state,country,latitude,longitude,is_vpn_or_proxy,distance_from_last_location_km,registered_country_match,event_type,evidence_status
GEO-2NETX7,ACC-70X3FG6,2026-04-01 07:10:00,,,,,,,,,,LOGIN,UNAVAILABLE
GEO-3U8C8L,ACC-X1Z2YVL,2026-04-01 07:15:00,117.118.154.158,Visakhapatnam,Andhra Pradesh,INDIA,17.730095,83.191471,FALSE,7.8,TRUE,LOGIN,AVAILABLE
GEO-GM2D29,ACC-66NW7Y6,2026-04-01 07:19:00,49.63.223.122,Lucknow,Uttar Pradesh,INDIA,26.811300,80.930755,FALSE,3.0,TRUE,LOGIN,AVAILABLE
GEO-AV58N0,ACC-HEZ5EDJ,2026-04-01 07:37:00,103.9.53.232,Visakhapatnam,Andhra Pradesh,INDIA,17.702136,83.173118,FALSE,6.3,TRUE,LOGIN,AVAILABLE
GEO-8IMVB1,ACC-4OGW9XH,2026-04-01 08:09:00,49.191.209.215,Kolkata,West Bengal,INDIA,22.539992,88.344921,FALSE,0.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-WV4N7C,ACC-9XM091Z,2026-04-01 08:12:00,49.177.247.242,Bengaluru,Karnataka,INDIA,12.968637,77.615016,FALSE,4.6,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-J09KQZ,ACC-70X3FG6,2026-04-01 08:13:00,49.223.123.212,Nagpur,Maharashtra,INDIA,21.156918,79.050768,FALSE,1.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-8LJMRP,ACC-VGKP7L9,2026-04-01 08:14:00,106.42.225.75,Kochi,Kerala,INDIA,9.955773,76.280749,FALSE,6.9,TRUE,LOGIN,UNKNOWN
GEO-K4ZBTX,ACC-LUJBU00,2026-04-01 08:23:00,49.37.162.208,Visakhapatnam,Andhra Pradesh,INDIA,17.654744,83.263729,FALSE,4.2,TRUE,LOGIN,AVAILABLE
GEO-MYT34S,ACC-BS5FI6E,2026-04-01 08:24:00,223.174.142.137,Kolkata,West Bengal,INDIA,22.537748,88.395644,FALSE,0.6,TRUE,LOGIN,AVAILABLE
GEO-5PZUGG,ACC-OK8NHVI,2026-04-01 08:38:00,223.159.40.104,Delhi,Delhi,INDIA,28.615201,77.220314,FALSE,2.7,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-7WCQLL,ACC-VGKP7L9,2026-04-01 08:49:00,182.169.140.156,Kochi,Kerala,INDIA,9.901464,76.241816,FALSE,9.5,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-P49G61,ACC-8R8KUSS,2026-04-01 08:51:00,106.194.75.12,Chennai,Tamil Nadu,INDIA,13.076884,80.233803,FALSE,3.8,TRUE,LOGIN,AVAILABLE
GEO-STQRD1,ACC-SF4HTZ4,2026-04-01 08:52:00,223.208.235.71,Kolkata,West Bengal,INDIA,22.592840,88.351119,FALSE,6.5,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-O31ZU2,ACC-0IQSVUH,2026-04-01 08:53:00,157.76.66.72,Mumbai,Maharashtra,INDIA,19.074466,72.927633,FALSE,5.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-79K9HZ,ACC-SPTHDP0,2026-04-01 08:55:00,103.62.69.76,Ahmedabad,Gujarat,INDIA,22.977028,72.596582,FALSE,9.6,TRUE,LOGIN,AVAILABLE
GEO-GINE40,ACC-QG18BAZ,2026-04-01 08:56:00,223.39.237.172,Visakhapatnam,Andhra Pradesh,INDIA,17.677792,83.219577,FALSE,3.0,TRUE,LOGIN,AVAILABLE
GEO-FOYN9U,ACC-1ZF88JR,2026-04-01 08:59:00,117.143.43.202,Coimbatore,Tamil Nadu,INDIA,10.970610,77.002671,FALSE,4.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-20TWBG,ACC-KC6Q0S7,2026-04-01 09:01:00,223.4.194.150,Ahmedabad,Gujarat,INDIA,23.000111,72.578587,FALSE,2.3,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-FJVMX0,ACC-ZJ2O1XJ,2026-04-01 09:11:00,182.122.213.179,Guwahati,Assam,INDIA,26.150292,91.759903,FALSE,6.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-83Q0Q1,ACC-X35UAF3,2026-04-01 09:16:00,223.45.22.83,Jaipur,Rajasthan,INDIA,26.912424,75.771373,FALSE,5.2,TRUE,LOGIN,AVAILABLE
GEO-P7U3GQ,ACC-R37F7FP,2026-04-01 09:16:00,157.31.212.103,Chandigarh,Chandigarh,INDIA,30.713012,76.783421,FALSE,6.8,TRUE,LOGIN,AVAILABLE
GEO-KLQJQ9,ACC-4JNUCYD,2026-04-01 09:29:00,157.146.46.5,Jaipur,Rajasthan,INDIA,26.936689,75.799486,FALSE,8.4,TRUE,LOGIN,AVAILABLE
GEO-798SJA,ACC-L6HYC1R,2026-04-01 09:35:00,49.20.18.153,Chennai,Tamil Nadu,INDIA,13.119021,80.223544,FALSE,6.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-49IX36,ACC-6OC7T3B,2026-04-01 09:50:00,223.158.178.209,Bengaluru,Karnataka,INDIA,13.011626,77.569363,FALSE,7.3,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-GK6CFJ,ACC-R7CETEN,2026-04-01 10:00:00,103.112.198.196,Ahmedabad,Gujarat,INDIA,23.031496,72.597281,FALSE,9.1,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-YFGA9L,ACC-JS2MXCB,2026-04-01 10:36:00,157.237.215.238,Mumbai,Maharashtra,INDIA,19.035560,72.862041,FALSE,0.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-TD4LMY,ACC-CTT593O,2026-04-01 10:37:00,117.242.67.167,Kolkata,West Bengal,INDIA,22.603813,88.365633,FALSE,6.1,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-Q1158I,ACC-RDEZX6K,2026-04-01 10:39:00,103.244.100.47,Patna,Bihar,INDIA,25.614843,85.172715,FALSE,6.7,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-MQJXA2,ACC-KRJ1925,2026-04-01 10:39:00,103.122.64.213,Indore,Madhya Pradesh,INDIA,22.732718,75.836252,FALSE,6.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-FHAU06,ACC-7YVR4NK,2026-04-01 10:42:00,182.222.82.166,Kochi,Kerala,INDIA,9.930444,76.271337,FALSE,3.2,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-YFY0QW,ACC-70SBOVV,2026-04-01 10:43:00,182.204.23.218,Chandigarh,Chandigarh,INDIA,30.695450,76.786996,FALSE,5.6,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-G8J93G,ACC-GG2KTBC,2026-04-01 10:44:00,182.91.26.23,Surat,Gujarat,INDIA,21.146517,72.872584,FALSE,1.4,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-F3FMMB,ACC-CER8CLU,2026-04-01 10:48:00,223.202.165.161,Hyderabad,Telangana,INDIA,17.335858,78.454439,FALSE,3.2,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-MQI9CY,ACC-PQ9YTXH,2026-04-01 10:56:00,157.67.18.166,Ahmedabad,Gujarat,INDIA,23.004639,72.615182,FALSE,3.5,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-63V1XI,ACC-D7CEDA0,2026-04-01 11:11:00,157.91.116.12,Indore,Madhya Pradesh,INDIA,22.727877,75.857113,FALSE,5.5,TRUE,LOGIN,AVAILABLE
GEO-62EBDA,ACC-E6SVH6Q,2026-04-01 11:25:00,182.131.48.245,Chandigarh,Chandigarh,INDIA,30.709225,76.765716,FALSE,4.2,TRUE,LOGIN,AVAILABLE
GEO-L6330U,ACC-D1I4N2E,2026-04-01 11:25:00,117.231.140.51,Kochi,Kerala,INDIA,9.951103,76.284210,FALSE,8.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-ERNHF2,ACC-ER1KTGJ,2026-04-01 11:43:00,223.55.55.117,Guwahati,Assam,INDIA,26.150637,91.721747,FALSE,3.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-11FPKE,ACC-JE7AK2W,2026-04-01 11:52:00,117.214.76.35,Coimbatore,Tamil Nadu,INDIA,11.000834,76.941171,FALSE,0.0,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-LFJJ3I,ACC-4NOUWR6,2026-04-01 11:54:00,106.196.157.133,Surat,Gujarat,INDIA,21.127622,72.801006,FALSE,4.4,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-JT49EC,ACC-3HQ57UY,2026-04-01 11:57:00,182.137.173.229,Chennai,Tamil Nadu,INDIA,13.048205,80.270160,FALSE,8.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-OFFET5,ACC-XXV6AZE,2026-04-01 12:01:00,103.47.160.203,Nagpur,Maharashtra,INDIA,21.111444,79.113138,FALSE,9.8,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-NOYVJ1,ACC-SSG5XRZ,2026-04-01 12:02:00,49.121.117.88,Hyderabad,Telangana,INDIA,17.417597,78.459947,FALSE,5.6,TRUE,LOGIN,AVAILABLE
GEO-86PTRW,ACC-3HQ57UY,2026-04-01 12:07:00,223.22.143.85,Chennai,Tamil Nadu,INDIA,13.095263,80.300571,FALSE,1.6,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-34E4WB,ACC-DY7084P,2026-04-01 12:16:00,157.77.67.199,Chandigarh,Chandigarh,INDIA,30.684454,76.772600,FALSE,7.5,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-9G2SEI,ACC-WUKFV2A,2026-04-01 12:41:00,182.167.201.249,Patna,Bihar,INDIA,25.632145,85.106422,FALSE,1.6,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-3TE9IB,ACC-FV4B1K1,2026-04-01 12:48:00,182.187.29.17,Lucknow,Uttar Pradesh,INDIA,26.886017,80.964821,FALSE,5.6,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-AV46YW,ACC-90ZASH1,2026-04-01 12:48:00,157.113.146.29,Pune,Maharashtra,INDIA,18.517174,73.836537,FALSE,6.1,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-4E2SF8,ACC-BS5FI6E,2026-04-01 12:52:00,182.237.85.82,Kolkata,West Bengal,INDIA,22.587261,88.403849,FALSE,1.7,TRUE,LOGIN,AVAILABLE
GEO-UEK91D,ACC-AWXUF9Q,2026-04-01 12:54:00,223.103.104.116,Jaipur,Rajasthan,INDIA,26.881035,75.787266,FALSE,5.2,TRUE,TRANSACTION_AUTH,AVAILABLE
GEO-F3NEZK,ACC-GG2KTBC,2026-04-01 12:55:00,106.92.52.42,Surat,Gujarat,INDIA,21.155975,72.875979,FALSE,4.5,TRUE,LOGIN,AVAILABLE
